TimeStamp,UserID,Title,Rating
2023-12-27 18:00:17,99788,the brothers 2001,3
2023-12-27 19:11:12,160766,the tigger movie 2000,4
2023-12-28 02:19:11,165531,ring of bright water 1969,3
2023-12-28 13:34:10,5750,the client 1994,3
2023-12-28 18:31:24,165531,addams family values 1993,2
2023-12-29 13:22:29,185107,hook 1991,4
2023-12-29 19:12:10,180714,when harry met sally... 1989,4
2023-12-29 20:12:55,96644,hairspray 2007,4
2023-12-29 20:26:25,97348,dances with wolves 1990,3
2023-12-29 23:20:57,112308,men in black 1997,4
2023-12-30 07:38:37,74516,jurassic park 1993,4
2023-12-30 13:58:03,131397,the edge 1997,5
2023-12-30 14:52:44,118783,pink floyd the wall 1982,4
2023-12-30 17:37:35,114484,the sound of music 1965,5
2023-12-30 20:48:33,99425,poltergeist iii 1988,3
2023-12-31 11:21:31,114484,snow white and the seven dwarfs 1937,5
2023-12-31 16:31:30,64567,the graduate 1967,5
2023-12-31 17:23:53,33394,the rapture 1991,3
2023-12-31 22:56:30,18184,a few good men 1992,4
2024-01-01 04:16:40,170171,absolute power 1997,3
2024-01-01 14:36:32,102505,outbreak 1995,4
2024-01-01 14:50:07,64567,the pianist 2002,4
2024-01-01 16:48:48,117166,natural born killers 1994,1
2024-01-01 17:05:28,209063,only you 1994,5
2024-01-01 22:21:37,38266,the sons of katie elder 1965,3
2024-01-02 00:06:35,114484,the rocky horror picture show 1975,4
2024-01-02 00:10:10,42424,excalibur 1981,2
2024-01-02 03:32:27,64567,terminator 2 judgment day 1991,4
2024-01-02 23:02:55,26488,nobodys fool 1994,3
2024-01-02 23:04:29,8610,collateral 2004,2
2024-01-02 23:12:53,170171,black sheep 1996,2
2024-01-03 00:18:49,97348,miracle on 34th street 1994,4
2024-01-03 10:19:03,208041,american history x 1998,3
2024-01-03 13:17:33,130354,under siege 2 dark territory 1995,3
2024-01-03 15:25:12,60725,alien 1979,3
2024-01-03 22:39:15,74039,grosse pointe blank 1997,4
2024-01-04 03:49:55,130354,the silence of the lambs 1991,5
2024-01-04 06:23:02,116436,american pie 2 2001,3
2024-01-04 06:59:32,63834,the singing detective 2003,4
2024-01-04 13:08:53,46299,the rock 1996,4
2024-01-04 13:40:36,152152,the time machine 2002,5
2024-01-04 18:37:36,185107,the abyss 1989,5
2024-01-04 21:08:09,37109,21 2008,4
2024-01-04 23:55:14,18184,escape from new york 1981,2
2024-01-05 00:25:09,97348,the piano 1993,5
2024-01-05 13:29:16,114484,the wizard of oz 1939,3
2024-01-05 16:06:36,130354,pocahontas 1995,3
2024-01-05 19:58:17,58452,dracula 1992,4
